father,food,ground,height,oc
19,2,2,162,0
20,2,1,166,0
20,2,2,162,0
20,1,1,159,1
20,2,2,161,0
20,2,2,164,1
20,3,2,163,0
20,1,2,162,0
20,2,1,161,0
20,2,2,159,0
20,2,2,170,1
20,1,2,163,0
21,2,1,158,0
21,1,1,167,0
21,2,1,171,0
21,2,2,166,0
21,2,2,158,0
21,2,2,164,0
21,3,2,157,0
21,1,2,160,0
21,3,2,160,0
21,2,2,170,1
21,2,1,169,0
21,2,2,168,0
21,2,2,168,0
21,1,1,165,0
21,3,2,165,0
22,3,1,163,0
22,2,1,155,0
22,2,1,165,0
22,2,1,160,0
22,2,2,172,0
22,3,2,160,0
22,2,1,158,0
22,1,1,168,0
22,2,1,168,0
22,2,1,163,0
22,2,2,163,0
22,2,1,171,1
22,2,1,157,1
22,2,2,165,0
22,2,1,168,0
22,1,2,170,0
22,3,1,165,0
22,2,2,162,0
23,1,2,165,0
23,2,2,170,0
23,2,2,172,0
23,2,2,167,0
23,2,2,169,0
23,3,2,166,1
23,3,2,166,0
23,2,2,169,0
23,2,2,173,0
23,3,2,160,0
23,2,2,172,0
23,3,2,172,0
23,2,2,164,0
23,3,1,170,0
23,3,1,171,0
24,3,1,165,0
24,2,2,161,0
24,2,2,157,0
24,3,2,170,0
24,3,1,169,0
24,2,2,166,0
24,2,1,166,0
24,1,2,157,0
24,2,1,161,0
24,2,1,165,0
24,2,2,163,0
24,2,2,168,1
24,1,2,158,0
24,3,2,168,1
24,2,1,163,0
24,1,2,167,0
24,3,1,163,0
24,2,1,162,1
25,2,2,166,0
25,3,2,172,0
25,3,1,170,0
25,2,2,165,0
25,2,2,168,1
25,3,2,168,1
25,3,2,173,0
25,2,2,171,1
25,3,2,161,0
25,2,1,163,0
25,2,2,163,0
25,2,1,164,0
25,3,2,170,0
25,2,1,159,1
25,1,2,160,1
25,2,1,162,0
26,2,1,168,0
26,2,1,158,0
26,2,2,159,0
26,2,2,165,0
26,1,1,162,0
26,2,1,164,0
26,2,2,161,0
26,3,1,165,0
26,2,1,164,1
26,3,2,160,0
26,1,2,163,0
26,3,1,163,0
26,3,2,159,0
26,2,1,165,0
26,2,2,158,1
26,2,1,162,0
27,3,2,168,1
27,2,2,163,0
27,2,1,161,0
27,3,2,170,1
27,2,1,166,0
27,2,1,170,0
27,2,2,166,0
27,3,1,169,0
27,2,1,167,1
27,2,2,166,0
27,2,1,168,1
28,2,2,161,0
28,2,2,170,0
28,2,1,161,0
28,3,1,171,0
28,3,2,162,0
28,2,2,164,0
28,2,2,164,0
28,3,2,161,0
28,2,2,165,0
28,2,1,164,0
28,2,1,166,1
28,3,2,162,0
28,2,2,174,0
28,3,1,154,1
28,2,1,161,0
28,2,2,163,0
28,2,2,153,0
29,2,2,165,1
29,2,2,162,0
29,2,2,166,0
29,2,1,154,0
29,2,1,168,0
29,3,2,171,1
29,2,1,162,0
29,1,1,159,0
29,2,1,177,0
29,2,2,167,1
29,2,2,162,0
29,2,2,164,0
29,2,1,168,1
30,2,1,164,0
30,3,2,164,0
30,2,1,161,0
30,1,1,167,0
30,2,2,160,0
30,3,2,165,0
30,2,1,167,0
30,3,2,161,0
30,3,2,166,0
30,2,2,159,0
30,3,2,164,0
